lightning    | 2026-01-07T18:15:05.619638824Z timestamp=2026-01-07T18:15:05.619268073Z level=info service=lightning message="Starting northbound HTTP server on :8080"
lightning    | 2026-01-07T18:15:05.634220905Z timestamp=2026-01-07T18:15:05.63400491Z level=info service=lightning message="gRPC server listening on :9090 via eastwest gRPC"
ledger       | 2026-01-07T18:15:05.352214079Z timestamp=2026-01-07T18:15:05.34954562Z level=info service=ledger message="Starting ledger service"
ledger       | 2026-01-07T18:15:05.352350743Z timestamp=2026-01-07T18:15:05.349999406Z level=info service=ledger message="Metrics initialized successfully"
ledger       | 2026-01-07T18:15:05.352365798Z timestamp=2026-01-07T18:15:05.350040646Z level=info service=internal message="Tracing is explicitly disabled via OTEL_TRACES_EXPORTER=none"
ledger       | 2026-01-07T18:15:05.352374483Z timestamp=2026-01-07T18:15:05.350093404Z level=info service=ledger message="OpenTelemetry initialized with OTLP exporter at "
ledger       | 2026-01-07T18:15:05.428042495Z timestamp=2026-01-07T18:15:05.423771109Z level=info service=ledger message="Connecting to Redis"
ledger       | 2026-01-07T18:15:05.428380210Z timestamp=2026-01-07T18:15:05.423879329Z level=info service=internal message="Connecting to Redis at redis:6379"
ledger       | 2026-01-07T18:15:05.435937097Z timestamp=2026-01-07T18:15:05.434996506Z level=info service=internal message="Connected to Redis"
device       | 2026-01-07T18:16:35.672704329Z timestamp=2026-01-07T18:16:35.672475575Z level=info service=device message="Device provisioned successfully in dynsec via northbound REST" trace_id=bee6527a8530fbc0a9d16679969dea25 span_id=04f2ff9382a90adb device_id=smart-meter-001
device       | 2026-01-07T18:16:35.674182482Z timestamp=2026-01-07T18:16:35.67321717Z level=info service=device message="Published message on southbound mqtt" trace_id=bee6527a8530fbc0a9d16679969dea25 span_id=75e9d221b1a9b888 topic=/devices/smart-meter-001/config
device       | 2026-01-07T18:16:35.674300794Z timestamp=2026-01-07T18:16:35.673267058Z level=info service=device message="Device config published on southbound mqtt via northbound REST" trace_id=bee6527a8530fbc0a9d16679969dea25 span_id=04f2ff9382a90adb device_id=smart-meter-001 topic=/devices/smart-meter-001/config
ledger       | 2026-01-07T18:15:05.436343569Z timestamp=2026-01-07T18:15:05.435045413Z level=info service=ledger message="Redis stream client connected successfully"
ledger       | 2026-01-07T18:15:05.436367068Z timestamp=2026-01-07T18:15:05.435090393Z level=info service=internal message="Connecting to Redis at redis:6379"
ledger       | 2026-01-07T18:15:05.444125580Z timestamp=2026-01-07T18:15:05.442443933Z level=info service=internal message="Connected to Redis"
ledger       | 2026-01-07T18:15:05.444204560Z timestamp=2026-01-07T18:15:05.442553726Z level=info service=ledger message="Initializing northbound REST API"
ledger       | 2026-01-07T18:15:05.444215245Z timestamp=2026-01-07T18:15:05.442793314Z level=info service=ledger message="Ledger Service HTTP listening via northbound REST" listen_addr=:8080 db_path=/data/ledger.db
ledger       | 2026-01-07T18:15:05.444238337Z timestamp=2026-01-07T18:15:05.443444836Z level=info service=ledger message="Starting authorization expiration checker"
ledger       | 2026-01-07T18:15:05.444247948Z timestamp=2026-01-07T18:15:05.443653535Z level=info service=ledger message="Starting lightning consumer" stream_name=event.lightning stream_action=consume
ledger       | 2026-01-07T18:15:05.444255299Z timestamp=2026-01-07T18:15:05.4438909Z level=info service=ledger message="Starting pending message retry mechanism (continuous)" stream_name=event.lightning stream_action=consume
ledger       | 2026-01-07T18:15:05.450569288Z timestamp=2026-01-07T18:15:05.445513105Z level=info service=ledger message="Starting northbound REST API server on :8080"
ledger       | 2026-01-07T18:15:05.450720711Z timestamp=2026-01-07T18:15:05.446515564Z level=info service=ledger message="Metrics server listening on :9464/metrics"
ledger       | 2026-01-07T18:15:05.463198283Z timestamp=2026-01-07T18:15:05.454497922Z level=info service=ledger message="Starting consumption consumer" stream_name=event.consumption stream_action=consume
ledger       | 2026-01-07T18:15:05.467948214Z timestamp=2026-01-07T18:15:05.457983882Z level=info service=ledger message="Starting pending message retry mechanism (continuous)" stream_name=event.consumption stream_action=consume
ledger       | 2026-01-07T18:15:05.472159935Z timestamp=2026-01-07T18:15:05.468946525Z level=info service=ledger message="gRPC server listening on :9090 via eastwest gRPC"
device       | 2026-01-07T18:16:35.674312312Z [GIN] 2026/01/07 - 18:16:35 | 201 |  238.023616ms |   192.168.0.166 | POST     "/api/v1/devices"
device       | 2026-01-07T19:20:30.838233412Z timestamp=2026-01-07T19:20:30.837847828Z level=info service=device message="Received message on authorization request topic on southbound mqtt" trace_id=a72bcfa54fcc2368d75378253637c092 span_id=6b0c3383ef81b873 device_id=smart-meter-001 topic=/devices/smart-meter-001/request/authorize payload_size=148 payload="{\"device_id\":\"smart-meter-001\", \"request_id\":\"20260107192030-916jbm\", \"request_msat\":\"1000\", \"reason\":\"STARTUP\", \"timestamp\":\"2026-01-07T19:20:30Z\"}"
device       | 2026-01-07T19:20:30.838827141Z timestamp=2026-01-07T19:20:30.838537536Z level=info service=device message="Authorization request received on southbound mqtt" trace_id=a72bcfa54fcc2368d75378253637c092 span_id=6b0c3383ef81b873 device_id=smart-meter-001 request_msat=1000 reason=STARTUP timestamp=2026-01-07T19:20:30Z request_id=20260107192030-916jbm
device       | 2026-01-07T19:20:30.839816250Z timestamp=2026-01-07T19:20:30.839590958Z level=info service=device-service message="gRPC call started: LedgerService/CreateOrGetAuthorization via eastwest gRPC" trace_id=a72bcfa54fcc2368d75378253637c092 span_id=6b0c3383ef81b873 method=LedgerService/CreateOrGetAuthorization request="device_id:\"smart-meter-001\" request_id:\"20260107192030-916jbm\" request_msat:1000 reason:\"STARTUP\""
